Name,Kategorie,Eigenschaften/Domäne,Verwandtschaft,Ereignisse mit anderen Göttern,Gefühle/Beziehung zu anderen
Zeus,Olympier,"Himmel, Blitz, Donner, Herrschaft",Sohn von Kronos und Rhea,"Stürzte Kronos, besiegte Titanen, viele Affären","Respektiert, oft im Konflikt mit Hera"
Hera,Olympier,"Ehe, Familie, Geburt",Tochter von Kronos und Rhea,Verfolgte Zeus' Geliebte und uneheliche Kinder,"Eifersüchtig, beschützend gegenüber der Ehe"
Poseidon,Olympier,"Meer, Erdbeben, Pferde",Sohn von Kronos und Rhea,"Wettstreit mit Athene, baute Trojas Mauern","Aufbrausend, Rivalität mit Athene"
Hades,Unterweltgott,"Unterwelt, Reichtum",Sohn von Kronos und Rhea,Entführte Persephone,"Liebt Persephone, isoliert, unerbittlich"
Demeter,Olympier,"Ackerbau, Fruchtbarkeit",Tochter von Kronos und Rhea,"Suchte Persephone, entzog Erdfruchtbarkeit","Tiefe Liebe zu Persephone, Zorn auf Hades"
Athene,Olympier,"Weisheit, Strategie, Handwerk",Tochter von Zeus (Kopfgeburt),"Half Perseus, Odysseus, Herakles","Lieblingstochter, Feindschaft mit Ares"
Ares,Olympier,"Krieg, Massaker",Sohn von Zeus und Hera,"Affäre mit Aphrodite, im Trojakrieg verletzt","Verachtet von Zeus, geliebt von Aphrodite"
Aphrodite,Olympier,"Liebe, Schönheit",Schaumgeboren (oder Zeus/Dione),"Ehe mit Hephaistos, Affäre mit Ares","Abneigung gegen Hephaistos, liebt Ares"
Hephaistos,Olympier,"Feuer, Schmiedekunst",Sohn von Hera,Fing Aphrodite und Ares im Netz,"Groll gegen Hera, freundlich zu Athene"
Apollon,Olympier,"Licht, Musik, Heilkunst",Sohn von Zeus und Leto,"Tötete Python, unterstützte Troja","Beschützend zu Artemis, oft unglücklich verliebt"
Artemis,Olympier,"Jagd, Wald, Mond",Tochter von Zeus und Leto,"Verwandelte Aktaion, tötete Orion","Loyal zu Apollon, meidet Männer"
Hermes,Olympier,"Götterbote, Handel, Diebe",Sohn von Zeus und Maia,"Stahl Apollons Rinder, geleitet Seelen","Listig, freundschaftlich mit Apollon"
Dionysos,Olympier,"Wein, Ekstase, Theater",Sohn von Zeus und Semele,"Von Hera verfolgt, rettete Ariadne","Feindschaft mit Pentheus, bringt Chaos"
Hestia,Olympier,"Herdfeuer, Familie",Tochter von Kronos und Rhea,Verzichtete auf Olympplatz für Dionysos,"Friedfertig, neutral, hoch respektiert"
Kronos,Titan,"Zeit, Ernte",Sohn von Uranos und Gaia,"Kastrierte Uranos, fraß eigene Kinder","Paranoid, hasst Uranos und Zeus"
Rhea,Titanin,"Fruchtbarkeit, Mutterschaft",Tochter von Uranos und Gaia,Versteckte Zeus vor Kronos,"Mütterliche Liebe, Groll gegen Kronos"
Uranos,Primordialgott,Himmel,Sohn/Ehemann von Gaia,Sperrte Kinder in Tartaros,"Hass auf Kinder, Furcht vor Entmachtung"
Gaia,Primordialgott,Erde,Entstand aus Chaos,"Stiftete Kronos an, gebar Typhon","Beschützend, rachsüchtig"
Eros,Primordialgott,"Liebe, Begierde",Aus Chaos (oder Sohn der Aphrodite),Verliebte sich in Psyche,"Machtvoll über Götter, treu zu Psyche"
Persephone,Unterweltgöttin,"Frühling, Königin der Unterwelt",Tochter von Zeus und Demeter,Von Hades entführt,"Liebt Demeter, arrangiert sich mit Hades"
Helios,Titan,Sonne,Sohn von Hyperion und Theia,Sah Entführung der Persephone,"Allsehend, freundlich"
Selene,Titanin,Mond,Tochter von Hyperion und Theia,Liebte Endymion,"Sanft, verliebt"
Eos,Titanin,Morgenröte,Tochter von Hyperion und Theia,Liebte Tithonos,"Oft verliebt, traurig"
Nyx,Primordialgott,Nacht,Aus Chaos,"Gebar Thanatos, Hypnos","Von Zeus gefürchtet, unnahbar"
Erebus,Primordialgott,Finsternis,Aus Chaos,Zeugte Aither und Hemera,Neutral
Tartaros,Primordialgott,Unterwelt-Abgrund,Aus Chaos,"Gefängnis der Titanen, zeugte Typhon",Feindselig zu Olympiern
Chaos,Primordialgott,"Ursprung, Leere",Erstes Wesen,"Gebar Gaia, Tartaros, Eros",Neutral
Pontos,Primordialgott,Das Meer,Sohn von Gaia,"Zeugte Nereus, Phorkys",Repräsentiert Ur-Meer
Oceanus,Titan,Weltstrom,Sohn von Uranos und Gaia,Zeugte Okeaniden,"Distanziert, neutral"
Tethys,Titanin,"Süßwasser, Meeresmutter",Tochter von Uranos und Gaia,Zog Hera auf,Liebevoll zu Hera
Hyperion,Titan,Licht,Sohn von Uranos und Gaia,Vater der Himmelsgestirne,"Wenig Interaktion, im Tartaros"
Theia,Titanin,Glanz,Tochter von Uranos und Gaia,"Mutter von Helios, Selene, Eos",Verleiht Gold Glanz
Koios,Titan,Intelligenz,Sohn von Uranos und Gaia,Vater von Leto,Großvater von Apollon
Phoibe,Titanin,Prophezeiung,Tochter von Uranos und Gaia,Mutter von Leto,Ehemaliger Orakelbesitz
Iapetos,Titan,Sterblichkeit,Sohn von Uranos und Gaia,"Vater von Prometheus, Atlas",Feind von Zeus
Mnemosyne,Titanin,Erinnerung,Tochter von Uranos und Gaia,Gebar die Musen mit Zeus,Respektiert von Zeus
Themis,Titanin,Gerechtigkeit,Tochter von Uranos und Gaia,Mutter der Moiren und Horen,Beraterin des Zeus
Krios,Titan,Sternbilder,Sohn von Uranos und Gaia,Vater von Perses,Im Tartaros
Leto,Titanin,Mutterschaft,Tochter von Koios und Phoibe,Von Hera gejagt,"Schützend zu Zwillingen, fürchtet Hera"
Prometheus,Titan,"Voraussicht, Schöpfer",Sohn von Iapetos,"Stahl das Feuer, von Zeus bestraft","Liebt Menschen, listig"
Epimetheus,Titan,Nachsicht,Sohn von Iapetos,Nahm Pandora an,"Leichtgläubig, bedauernd"
Atlas,Titan,"Ausdauer, Astronomie",Sohn von Iapetos,Trägt den Himmel nach Titanomachie,"Verbittert, erschöpft"
Hekate,Unterweltgöttin,"Magie, Kreuzwege",Tochter von Perses und Asteria,Half Demeter bei Suche,"Geheimnisvoll, mächtig"
Pan,Naturgott,"Hirten, Wildnis",Sohn von Hermes,Erfand Panflöte,"Lüstern, furchteinflößend"
Eris,Personifikation,Zwietracht,Tochter der Nyx,Warf Zankapfel,"Bösartig, ungeliebt"
Nemesis,Personifikation,Vergeltung,Tochter der Nyx,Bestrafte Narziss,"Unerbittlich, gerecht"
Nike,Personifikation,Sieg,Tochter von Pallas und Styx,Begleitet Zeus,Loyal zu Zeus
Hebe,Olympier/Minor,Jugend,Tochter von Zeus und Hera,Heiratete Herakles,"Gehorsam, versöhnte Hera"
Iris,Personifikation,"Regenbogen, Botin",Tochter von Thaumas,Diente Hera,Loyal zu Hera
Hypnos,Unterweltgott,Schlaf,Sohn der Nyx,Schläferte Zeus ein,"Sanft, fürchtet Zeus"
Thanatos,Unterweltgott,Tod,Sohn der Nyx,Von Sisyphos gefesselt,"Unerbittlich, hasst Sterbliche"
Tyche,Personifikation,"Glück, Schicksal",Tochter von Oceanus,Verteilt Glück und Pech,Unberechenbar
Asklepios,Minor,Heilkunst,Sohn von Apollon,Von Zeus getötet wegen Totenerweckung,"Sorgend, im Konflikt mit Hades"
Morpheus,Unterweltgott,Träume,Sohn von Hypnos,Erscheint Königen im Traum,"Respektvoll, formwandelnd"
Phobos,Personifikation,Furcht,Sohn von Ares und Aphrodite,Begleitet Ares,Treu zu Ares
Deimos,Personifikation,Schrecken,Sohn von Ares und Aphrodite,Begleitet Ares,Treu zu Ares
Aither,Primordialgott,"Obere Luft, Licht",Sohn von Erebus und Nyx,Bildet Himmelsäther,Hoch erhaben
Hemera,Primordialgott,Tag,Tochter von Erebus und Nyx,Wechselt mit Nyx ab,Friedlich mit Nyx
Thalassa,Primordialgott,Das Meer,Tochter von Aither und Hemera,Mutter der Fische,"Elementar, distanziert"
Triton,Meeresgott,Bote der Tiefe,Sohn von Poseidon und Amphitrite,Beruhigt Wellen mit Horn,Loyal zu Poseidon
Proteus,Meeresgott,"Vorhersage, Formwandler",Meeresgott,Von Menelaos gefangen,"Widerspenstig, weise"
Glaukos,Meeresgott,Prophetie der See,Sterblicher Fischer (vergöttlicht),Liebte Skylla,Sympathisiert mit Seeleuten
Amphitrite,Meeresgöttin,Königin des Meeres,Tochter von Nereus,Heiratete Poseidon,"Sanfter als Hera, teils eifersüchtig"
Boreas,Windgott,Nordwind,Sohn von Astraios und Eos,Entführte Oreithyia,"Wild, zornig"
Zephyros,Windgott,Westwind,Sohn von Astraios und Eos,Liebte Hyakinthos,"Sanft, eifersüchtig"
Notos,Windgott,Südwind,Sohn von Astraios und Eos,Bringt Stürme,Gefürchtet
Euros,Windgott,Ostwind,Sohn von Astraios und Eos,Begleitet oft andere Winde,Neutral
Aiolos,Gott der Winde,Herrscher der Winde,Sohn von Hippotes,Half Odysseus,"Respektiert, hilfsbereit"
Harmonia,Personifikation,Eintracht,Tochter von Ares und Aphrodite,Heiratete Kadmos,Verbindend
